Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
1010000,1.3136477,9.8998884e-05,3.003580726699413,102.0752688172043,1.4531976,3.0035807629746776,0.11134122,0.0629401
1020000,1.3132977,9.700051e-05,3.055186128551086,117.02325581395348,1.2921209,3.055186181654071,0.102125965,0.065439425
1030000,1.3113942,9.499867e-05,2.982119740355107,84.71794871794872,1.5143725,2.982491507227051,0.10751636,0.069028474
1040000,1.310621,9.299948e-05,3.122813092384722,79.02439024390245,1.6075191,3.1213307759814684,0.11444062,0.0701593
1050000,1.3097028,9.1004295e-05,2.9671828761216132,106.16129032258064,1.376975,2.94576098660574,0.097978644,0.07138763
1060000,1.3088161,8.9005975e-05,3.0884160123192665,86.99115044247787,1.5644107,3.114964710630938,0.12884389,0.067343384
1070000,1.3074867,8.700426e-05,3.0215377159171326,105.56989247311827,1.4066343,3.0107635389012035,0.102084264,0.06498921
1080000,1.305732,8.499893e-05,3.027660632478244,90.03669724770643,1.5057302,3.026863733069463,0.110123314,0.0700297
1090000,1.3046048,8.299468e-05,3.037542939320251,94.11428571428571,1.4617308,3.0385097054263146,0.10469584,0.06329173
1100000,1.3041867,8.099794e-05,3.0908771329941076,79.85245901639344,1.6570725,3.0896261198128143,0.11009731,0.064867444
1110000,1.3027643,7.9002464e-05,3.039000083217544,77.73228346456693,1.6658578,3.039777890971256,0.11290217,0.06640809
1120000,1.3026603,7.700342e-05,3.094301969437851,92.77358490566037,1.4916712,3.0660095376858734,0.1048439,0.07295114
1130000,1.3023449,7.500204e-05,3.007897720624524,77.37007874015748,1.6830869,3.023645765903428,0.1142241,0.06452675
1140000,1.3018401,7.300049e-05,3.1629486142166354,71.1029411764706,1.7442172,3.168620557245547,0.12735918,0.066101186
1150000,1.3011851,7.099676e-05,3.1839920204703605,80.70967741935483,1.6743904,3.1941139051100103,0.10912321,0.06415756
1160000,1.3002717,6.899766e-05,2.9527359298707143,92.76415094339623,1.5270468,2.9433114091110117,0.11637982,0.0616137
1170000,1.2994332,6.699642e-05,3.017890838830841,81.5126050420168,1.5283635,3.017225089482963,0.10719477,0.066259496
1180000,1.2990506,6.499988e-05,3.085697925773536,71.33093525179856,1.7568122,3.0940001035730043,0.12110405,0.06458019
1190000,1.2990679,6.3004176e-05,2.9147365155138885,76.18604651162791,1.5819496,2.9147287638959036,0.107034124,0.07173528
1200000,1.2986218,6.1001763e-05,3.2241791902533943,73.02985074626865,1.7218391,3.2146741890245014,0.12400486,0.061951905
1210000,1.296912,5.8999238e-05,3.172732368038278,77.85039370078741,1.6727494,3.1825159786653425,0.12530556,0.0627827
1220000,1.2955322,5.6997393e-05,3.2471739992084308,70.44927536231884,1.7905259,3.2377699092030525,0.1362259,0.06492256
1230000,1.295292,5.4999728e-05,3.147503787975034,73.45925925925926,1.7840447,3.141574712775981,0.12417658,0.06916584
1240000,1.2946332,5.300454e-05,3.0796875835676474,75.265625,1.7155538,3.0863721899746,0.10510792,0.07119561
1250000,1.2937907,5.100499e-05,3.048000082762912,78.632,1.6758922,3.0480001069307328,0.11709702,0.068639055
1260000,1.2932211,4.9001876e-05,2.9824725228515785,79.1732283464567,1.6718243,2.9828255068333376,0.11425282,0.0688359
1270000,1.2925372,4.6996563e-05,3.079043249447207,70.81294964028777,1.747709,3.0574605379173225,0.10973461,0.06961845
1280000,1.2914811,4.5001038e-05,3.189746462253253,69.91304347826087,1.7919623,3.209518084369546,0.12429776,0.068045475
1290000,1.2911311,4.3003078e-05,3.1765395591018635,65.74342105263158,1.9068075,3.1714901665089936,0.12723634,0.07064779
1300000,1.2909436,4.0999563e-05,3.062958125803307,68.73426573426573,1.8019915,3.0419721162089934,0.122717515,0.0691749
